# Scan of Dihedral Angle (22C, 3C, 5C, 24C)
# X-Axis:  Scan Step Number
# Y-Axis:  Dihedral Angle (Degrees)
#                  X                   Y
        1.0000000000      -11.5774168295
        2.0000000000       -1.5774574020
        3.0000000000        8.4225536556
        4.0000000000       18.4225202684
        5.0000000000       28.4225517188
        6.0000000000       38.4225293826
        7.0000000000       48.4225164434
        8.0000000000       58.4225559485
        9.0000000000       68.4225468746
       10.0000000000       78.4225257115
       11.0000000000       88.4225118302
       12.0000000000       98.4225555520
       13.0000000000      108.4225485469
       14.0000000000      118.4225423054
       15.0000000000      128.4225192069
       16.0000000000      138.4226962763
       17.0000000000      148.4227114995
       18.0000000000      158.4227153437
       19.0000000000      168.4226585140
       20.0000000000      178.4225484547
       21.0000000000     -171.5774531995
       22.0000000000     -161.5774835634
       23.0000000000     -151.5774435357
       24.0000000000     -141.5774473855
       25.0000000000     -131.5774435241
       26.0000000000     -121.5774681743
       27.0000000000     -111.5774646740
       28.0000000000     -101.5774502401
       29.0000000000      -91.5774630085
       30.0000000000      -81.5774808150
       31.0000000000      -71.5774450241
       32.0000000000      -61.5774524446
       33.0000000000      -51.5774608624
       34.0000000000      -41.5774727266
       35.0000000000      -31.5774794825
       36.0000000000      -21.5772753496
