# Scan of Total Energy
# X-Axis:  Scan Step Number
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        1.0000000000    -1377.5730800000
        2.0000000000    -1377.5718300000
        3.0000000000    -1377.5688600000
        4.0000000000    -1377.5641500000
        5.0000000000    -1377.5577000000
        6.0000000000    -1377.5525800000
        7.0000000000    -1377.5472300000
        8.0000000000    -1377.5407600000
        9.0000000000    -1377.5331400000
       10.0000000000    -1377.5394800000
       11.0000000000    -1377.5288800000
       12.0000000000    -1377.5169400000
       13.0000000000    -1377.5039300000
       14.0000000000    -1377.4899300000
       15.0000000000    -1377.4772400000
       16.0000000000    -1377.5626500000
       17.0000000000    -1377.5681500000
       18.0000000000    -1377.5716600000
       19.0000000000    -1377.5730900000
       20.0000000000    -1377.5723500000
       21.0000000000    -1377.5694100000
       22.0000000000    -1377.5645100000
       23.0000000000    -1377.5583400000
       24.0000000000    -1377.5517500000
       25.0000000000    -1377.5449500000
       26.0000000000    -1377.5384700000
       27.0000000000    -1377.5333500000
       28.0000000000    -1377.5272400000
       29.0000000000    -1377.5194100000
       30.0000000000    -1377.5095400000
       31.0000000000    -1377.4978200000
       32.0000000000    -1377.4843300000
       33.0000000000    -1377.4692000000
       34.0000000000    -1377.4525500000
       35.0000000000    -1377.4346900000
       36.0000000000    -1377.5725926020
