# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      -11.5774672184    -1377.0252107600
       -1.5774672184    -1377.0237511300
        8.4225327816    -1377.0205270800
       18.4225327816    -1377.0155342500
       28.4225327816    -1377.0088426900
       38.4225327816    -1377.0033522100
       48.4225327816    -1376.9978068900
       58.4225327816    -1376.9912877500
       68.4225327816    -1376.9839381100
       78.4225327816    -1376.9908881800
       88.4225327816    -1376.9800674800
       98.4225327816    -1376.9679654000
      108.4225327816    -1376.9548116800
      118.4225327816    -1376.9425274700
      128.4225327816    -1376.9278669300
      138.4225327816    -1376.9127602400
      148.4225327816    -1377.0202668800
      158.4225327816    -1377.0238308500
      168.4225327816    -1377.0252701500
      178.4225327816    -1377.0244900500
      188.4225327816    -1377.0214756900
      198.4225327816    -1377.0164546300
      208.4225327816    -1377.0100937300
      218.4225327816    -1377.0032111700
      228.4225327816    -1376.9961012700
      238.4225327816    -1376.9894752900
      248.4225327816    -1376.9861790700
      258.4225327816    -1376.9795203900
      268.4225327816    -1376.9713471100
      278.4225327816    -1376.9613371100
      288.4225327816    -1376.9494501700
      298.4225327816    -1376.9357562700
      308.4225327816    -1376.9203387800
      318.4225327816    -1376.9033391900
      328.4225327816    -1376.8850686300
      338.4225327816    -1377.0248383700
      348.4225327816    -1377.0252107800
